freqency(kHz),area(mm2),RCA/STD,Dry/Wet,T21/T23,Voltage(V),C(pF)
1,0.0102,0,0,1,0.29,13.7914
1,0.0102,0,0,1,0.42,13.9722
1,0.0102,0,0,1,0.55,14.2026
1,0.0102,0,0,1,0.68,14.3287
1,0.0102,0,0,1,0.81,14.4661
1,0.0102,0,0,1,0.94,14.5923
1,0.0102,0,0,1,1.07,14.6859
1,0.0102,0,0,1,1.20,14.8216
1,0.0102,0,0,1,1.33,14.9465
1,0.0102,0,0,1,1.46,15.0573
1,0.0102,0,0,1,1.59,15.1311
1,0.0102,0,0,1,1.72,15.2142
1,0.0102,0,0,1,1.85,15.2743
1,0.0102,0,0,1,1.98,15.3473
1,0.0102,0,0,1,2.11,15.4142
1,0.0102,0,0,1,2.24,15.4730
1,0.0102,0,0,1,2.37,15.4878
1,0.0102,0,0,1,2.50,15.5366
1,0.0100,0,0,1,-4.00,18.2802
1,0.0100,0,0,1,-3.87,18.2266
1,0.0100,0,0,1,-3.74,18.2080
1,0.0100,0,0,1,-3.61,18.1609
1,0.0100,0,0,1,-3.48,18.1478
1,0.0100,0,0,1,-3.35,18.1427
1,0.0100,0,0,1,-3.22,18.0843
1,0.0100,0,0,1,-3.09,18.0263
1,0.0100,0,0,1,-2.96,17.9906
1,0.0100,0,0,1,-2.83,17.8893
1,0.0100,0,0,1,-2.70,17.8415
1,0.0100,0,0,1,-2.57,17.7613
1,0.0100,0,0,1,-2.44,17.6589
1,0.0100,0,0,1,-2.31,17.5267
1,0.0100,0,0,1,-2.18,17.3526
1,0.0100,0,0,1,-2.05,17.1262
1,0.0100,0,0,1,-1.92,16.8088
1,0.0100,0,0,1,-1.79,16.3709
1,0.0100,0,0,1,-1.66,15.6647
1,0.0100,0,0,1,-1.53,14.4400
1,0.0100,0,0,1,-1.40,12.1391
1,0.0100,0,0,1,-1.27,8.2168
1,0.0100,0,0,1,-1.14,5.0900
1,0.0100,0,0,1,-1.01,4.0787
1,0.0100,0,0,1,-0.88,2.6733
1,0.0100,0,0,1,-0.75,2.9010
1,0.0100,0,0,1,-0.62,4.8855
1,0.0100,0,0,1,-0.49,9.8788
1,0.0100,0,0,1,-0.36,11.6627
1,0.0100,0,0,1,-0.23,12.3541
1,0.0100,0,0,1,-0.10,12.7825
1,0.0100,0,0,1,0.03,13.0737
1,0.0100,0,0,1,0.16,13.3444
1,0.0100,0,0,1,0.29,13.5449
1,0.0100,0,0,1,0.42,13.7556
1,0.0100,0,0,1,0.55,13.9305
1,0.0100,0,0,1,0.68,14.0693
1,0.0100,0,0,1,0.81,14.2474
1,0.0100,0,0,1,0.94,14.3730
1,0.0100,0,0,1,1.07,14.6319
1,0.0100,0,0,1,1.20,14.6114
1,0.0100,0,0,1,1.33,14.7061
1,0.0100,0,0,1,1.46,14.8437
1,0.0100,0,0,1,1.59,14.9040
1,0.0100,0,0,1,1.72,14.9839
1,0.0100,0,0,1,1.85,15.0672
1,0.0100,0,0,1,1.98,15.1387
1,0.0100,0,0,1,2.11,15.2154
1,0.0100,0,0,1,2.24,15.2824
1,0.0100,0,0,1,2.37,15.3446
1,0.0100,0,0,1,2.50,15.3697
1,0.0026,0,0,1,-4.00,4.5531
1,0.0026,0,0,1,-3.87,4.5676
1,0.0026,0,0,1,-3.74,4.5619
1,0.0026,0,0,1,-3.61,4.5411
1,0.0026,0,0,1,-3.48,4.5320
1,0.0026,0,0,1,-3.35,4.5337
1,0.0026,0,0,1,-3.22,4.5035
1,0.0026,0,0,1,-3.09,4.5119
1,0.0026,0,0,1,-2.96,4.4974
1,0.0026,0,0,1,-2.83,4.4648
1,0.0026,0,0,1,-2.70,4.4551
1,0.0026,0,0,1,-2.57,4.4227
1,0.0026,0,0,1,-2.44,4.3901
1,0.0026,0,0,1,-2.31,4.3472
1,0.0026,0,0,1,-2.18,4.3312
1,0.0026,0,0,1,-2.05,4.2554
1,0.0026,0,0,1,-1.92,4.1639
1,0.0026,0,0,1,-1.79,4.0162
1,0.0026,0,0,1,-1.66,3.7810
1,0.0026,0,0,1,-1.53,3.3491
1,0.0026,0,0,1,-1.40,2.5976
1,0.0026,0,0,1,-1.27,1.6388
1,0.0026,0,0,1,-1.14,1.2383
1,0.0026,0,0,1,-1.01,0.8797
1,0.0026,0,0,1,-0.88,0.7830
1,0.0026,0,0,1,-0.75,0.9787
1,0.0026,0,0,1,-0.62,2.0119
1,0.0026,0,0,1,-0.49,3.1293
1,0.0026,0,0,1,-0.36,3.5467
1,0.0026,0,0,1,-0.23,3.7433
1,0.0026,0,0,1,-0.10,3.8873
