freqency(kHz),area(mm2),RCA/STD,Dry/Wet,T21/T23,Voltage(V),Cm(pF),Ct(pF)
1,0.01,0,1,1,-1.4,14.1306,0
1,0.01,0,1,1,-1.27,12.5189,0
1,0.01,0,1,1,-1.14,9.4993,0
1,0.01,0,1,1,-1.01,5.7134,0
1,0.01,0,1,1,-0.88,4.2734,0
1,0.01,0,1,1,-0.75,3.0807,0
1,0.01,0,1,1,-0.62,2.9208,0
1,0.01,0,1,1,-0.49,4.2038,0
1,0.01,0,1,1,-0.36,8.4038,0
1,0.01,0,1,1,-0.23,11.7202,0
1,0.01,0,1,1,-0.1,12.91,0
1,0.01,0,1,1,0.03,13.4833,0
1,0.01,0,1,1,0.16,13.8554,0
1,0.01,0,1,1,0.29,14.1331,0
1,0.01,0,1,1,0.42,14.3279,0
1,0.01,0,1,1,0.55,14.4646,0
1,0.01,0,1,1,0.68,14.5874,0
1,0.01,0,1,1,0.81,14.6976,0
1,0.01,0,1,1,0.94,14.7908,0
1,0.01,0,1,1,1.07,14.8495,0
1,0.01,0,1,1,1.2,14.962,0
1,0.01,0,1,1,1.33,15.0258,0
1,0.01,0,1,1,1.46,15.0799,0
1,0.01,0,1,1,1.59,15.1474,0
1,0.01,0,1,1,1.72,15.213,0
1,0.01,0,1,1,1.85,15.247,0
1,0.01,0,1,1,1.98,15.3099,0
1,0.01,0,1,1,2.11,15.3305,0
1,0.01,0,1,1,2.24,15.3903,0
1,0.01,0,1,1,2.37,15.4176,0
1,0.01,0,1,1,2.5,15.4518,0
1,0.0026,0,1,1,-4,4.2697,0
1,0.0026,0,1,1,-3.87,4.2603,0
1,0.0026,0,1,1,-3.74,4.232,0
1,0.0026,0,1,1,-3.61,4.2516,0
1,0.0026,0,1,1,-3.48,4.2105,0
1,0.0026,0,1,1,-3.35,4.2446,0
1,0.0026,0,1,1,-3.22,4.2219,0
1,0.0026,0,1,1,-3.09,4.2094,0
1,0.0026,0,1,1,-2.96,4.2047,0
1,0.0026,0,1,1,-2.83,4.1779,0
1,0.0026,0,1,1,-2.7,4.1792,0
1,0.0026,0,1,1,-2.57,4.1381,0
1,0.0026,0,1,1,-2.44,4.1441,0
1,0.0026,0,1,1,-2.31,4.091,0
1,0.0026,0,1,1,-2.18,4.0869,0
1,0.0026,0,1,1,-2.05,4.0405,0
1,0.0026,0,1,1,-1.92,3.997,0
1,0.0026,0,1,1,-1.79,3.9272,0
1,0.0026,0,1,1,-1.66,3.8391,0
1,0.0026,0,1,1,-1.53,3.6523,0
1,0.0026,0,1,1,-1.4,3.387,0
1,0.0026,0,1,1,-1.27,2.8442,0
1,0.0026,0,1,1,-1.14,1.9518,0
1,0.0026,0,1,1,-1.01,1.2381,0
1,0.0026,0,1,1,-0.88,1.0668,0
1,0.0026,0,1,1,-0.75,0.7593,0
1,0.0026,0,1,1,-0.62,0.9557,0
1,0.0026,0,1,1,-0.49,1.3644,0
1,0.0026,0,1,1,-0.36,2.5422,0
1,0.0026,0,1,1,-0.23,3.2553,0
1,0.0026,0,1,1,-0.1,3.5369,0
1,0.0026,0,1,1,0.03,3.7063,0
1,0.0026,0,1,1,0.16,3.8062,0
1,0.0026,0,1,1,0.29,3.8829,0
1,0.0026,0,1,1,0.42,3.9362,0
1,0.0026,0,1,1,0.55,3.9851,0
1,0.0026,0,1,1,0.68,4.0181,0
1,0.0026,0,1,1,0.81,4.0423,0
1,0.0026,0,1,1,0.94,4.0779,0
1,0.0026,0,1,1,1.07,4.0737,0
1,0.0026,0,1,1,1.2,4.1091,0
1,0.0026,0,1,1,1.33,4.1219,0
1,0.0026,0,1,1,1.46,4.1493,0
1,0.0026,0,1,1,1.59,4.171,0
